epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99362,0.97097,2.55971,0.97395,0.00333,1,0.00992,0.00892,0.41514,3.12503,0.60882,0.00044,0.00044,0.00044
2,15.7485,0.77752,1.3201,0.91134,0.00333,1,0.12083,0.11047,0.43716,3.03461,0.64179,0.00088218,0.00088218,0.00088218
3,21.66,0.66137,1.15825,0.86624,0.98404,1,0.995,0.88495,0.64305,2.46993,0.73438,0.00130614,0.00130614,0.00130614
4,27.4248,0.61915,1.02805,0.87256,0.99361,1,0.995,0.995,0.28045,1.762,0.66451,0.00171189,0.00171189,0.00171189
5,33.7293,0.64954,0.91133,0.86402,0.99812,1,0.995,0.79787,0.47661,1.08711,0.71954,0.0018416,0.0018416,0.0018416
6,39.5771,0.55487,0.80401,0.84758,0.99873,1,0.995,0.8955,0.43604,0.49078,0.69907,0.001802,0.001802,0.001802
7,46.1624,0.48365,0.71102,0.83235,0.99882,1,0.995,0.89735,0.22482,0.49074,0.67546,0.0017624,0.0017624,0.0017624
8,51.5856,0.45517,0.63251,0.82008,0.99899,1,0.995,0.995,0.2108,0.42459,0.67232,0.0017228,0.0017228,0.0017228
9,58.2633,0.41311,0.56804,0.81526,0.999,1,0.995,0.9856,0.34838,0.30588,0.71197,0.0016832,0.0016832,0.0016832
10,64.3231,0.39312,0.51341,0.82008,0.99899,1,0.995,0.995,0.16108,0.31338,0.68141,0.0016436,0.0016436,0.0016436
11,70.1973,0.40173,0.48848,0.81587,0.99901,1,0.995,0.995,0.21292,0.24127,0.68804,0.001604,0.001604,0.001604
12,76.704,0.37754,0.47375,0.80833,0.99902,1,0.995,0.995,0.20438,0.18558,0.67111,0.0015644,0.0015644,0.0015644
13,82.3102,0.36773,0.44566,0.81093,0.99901,1,0.995,0.995,0.24334,0.2463,0.685,0.0015248,0.0015248,0.0015248
14,88.8545,0.36073,0.41973,0.81657,0.99899,1,0.995,0.995,0.1652,0.22393,0.67586,0.0014852,0.0014852,0.0014852
15,94.5997,0.33049,0.39781,0.80433,0.99897,1,0.995,0.995,0.15027,0.13592,0.66975,0.0014456,0.0014456,0.0014456
16,101.048,0.33736,0.37136,0.80493,0.99881,1,0.995,0.995,0.08019,0.15747,0.66416,0.001406,0.001406,0.001406
17,107.197,0.32306,0.35883,0.81066,0.99898,1,0.995,0.995,0.30953,0.16053,0.68069,0.0013664,0.0013664,0.0013664
18,112.953,0.33484,0.36597,0.81335,0.99899,1,0.995,0.995,0.21497,0.1831,0.67351,0.0013268,0.0013268,0.0013268
19,119.417,0.32069,0.35264,0.79722,0.99898,1,0.995,0.995,0.15748,0.24919,0.66436,0.0012872,0.0012872,0.0012872
20,125.073,0.30728,0.33926,0.80675,1,1,0.995,0.995,0.1938,0.28469,0.67045,0.0012476,0.0012476,0.0012476
21,131.439,0.28548,0.32599,0.80243,1,1,0.995,0.995,0.17491,0.15844,0.66563,0.001208,0.001208,0.001208
22,137.205,0.28381,0.30874,0.80501,0.99901,1,0.995,0.995,0.13422,0.15026,0.66518,0.0011684,0.0011684,0.0011684
23,143.99,0.27462,0.30362,0.80335,0.999,1,0.995,0.995,0.10119,0.17563,0.66399,0.0011288,0.0011288,0.0011288
24,149.85,0.26296,0.29331,0.79683,1,1,0.995,0.995,0.09454,0.15575,0.66245,0.0010892,0.0010892,0.0010892
25,155.372,0.26265,0.28656,0.79728,1,1,0.995,0.995,0.08554,0.13029,0.65637,0.0010496,0.0010496,0.0010496
26,161.68,0.25926,0.288,0.78708,0.999,1,0.995,0.995,0.1602,0.14404,0.66595,0.00101,0.00101,0.00101
27,167.562,0.27568,0.28005,0.78957,0.99899,1,0.995,0.995,0.11427,0.16605,0.65878,0.0009704,0.0009704,0.0009704
